label,text,text_clean,tokens,tokens_stemmed,tokens_lemmatized,text_tokens,text_stemmed,text_lemmatized
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how spell his name yes i did he v naughty make until i v wet,"['eh', 'remember', 'spell', 'name', 'yes', 'naughty', 'make', 'wet']","['eh', 'rememb', 'spell', 'name', 'ye', 'naughti', 'make', 'wet']","['eh', 'remember', 'spell', 'name', 'yes', 'naughty', 'make', 'wet']",eh remember spell name yes naughty make wet,eh rememb spell name ye naughti make wet,eh remember spell name yes naughty make wet
ham,Fine if thats the way u feel. Thats the way its gota b,fine if that s the way u feel that s the way its gota b,"['fine', 'way', 'feel', 'way', 'gota']","['fine', 'way', 'feel', 'way', 'gota']","['fine', 'way', 'feel', 'way', 'gota']",fine way feel way gota,fine way feel way gota,fine way feel way gota
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss the goals team news txt ur national team to eg england to try wales scotland txt poboxox w wq,"['england', 'macedonia', 'dont', 'miss', 'goals', 'team', 'news', 'txt', 'ur', 'national', 'team', 'eg', 'england', 'try', 'wales', 'scotland', 'txt', 'poboxox', 'wq']","['england', 'macedonia', 'dont', 'miss', 'goal', 'team', 'news', 'txt', 'ur', 'nation', 'team', 'eg', 'england', 'tri', 'wale', 'scotland', 'txt', 'poboxox', 'wq']","['england', 'macedonia', 'dont', 'miss', 'goal', 'team', 'news', 'txt', 'ur', 'national', 'team', 'eg', 'england', 'try', 'wale', 'scotland', 'txt', 'poboxox', 'wq']",england macedonia dont miss goals team news txt ur national team eg england try wales scotland txt poboxox wq,england macedonia dont miss goal team news txt ur nation team eg england tri wale scotland txt poboxox wq,england macedonia dont miss goal team news txt ur national team eg england try wale scotland txt poboxox wq
ham,Is that seriously how you spell his name?,is that seriously how you spell his name,"['seriously', 'spell', 'name']","['serious', 'spell', 'name']","['seriously', 'spell', 'name']",seriously spell name,serious spell name,seriously spell name
ham,I‘m going to try for 2 months ha ha only joking,i m going to try for months ha ha only joking,"['going', 'try', 'months', 'ha', 'ha', 'joking']","['go', 'tri', 'month', 'ha', 'ha', 'joke']","['go', 'try', 'month', 'ha', 'ha', 'joking']",going try months ha ha joking,go tri month ha ha joke,go try month ha ha joking
ham,So ü pay first lar... Then when is da stock comin...,so pay first lar then when is da stock comin,"['pay', 'first', 'lar', 'da', 'stock', 'comin']","['pay', 'first', 'lar', 'da', 'stock', 'comin']","['pay', 'first', 'lar', 'da', 'stock', 'comin']",pay first lar da stock comin,pay first lar da stock comin,pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'finish', 'ur', 'lunch', 'already']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'finish', 'ur', 'lunch', 'alreadi']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'finish', 'ur', 'lunch', 'already']",aft finish lunch go str lor ard smth lor finish ur lunch already,aft finish lunch go str lor ard smth lor finish ur lunch alreadi,aft finish lunch go str lor ard smth lor finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way i can meet up with you sooner,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'meet', 'sooner']",ffffffffff alright way meet sooner,ffffffffff alright way meet sooner,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,"['forced', 'eat', 'slice', 'really', 'hungry', 'tho', 'sucks', 'mark', 'getting', 'worried', 'knows', 'sick', 'turn', 'pizza', 'lol']","['forc', 'eat', 'slice', 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', 'sick', 'turn', 'pizza', 'lol']","['force', 'eat', 'slice', 'really', 'hungry', 'tho', 'suck', 'mark', 'get', 'worried', 'know', 'sick', 'turn', 'pizza', 'lol']",forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,force eat slice really hungry tho suck mark get worried know sick turn pizza lol
ham,Lol your always so convincing.,lol your always so convincing,"['lol', 'always', 'convincing']","['lol', 'alway', 'convinc']","['lol', 'always', 'convince']",lol always convincing,lol alway convinc,lol always convince
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', 'left', 'dinner', 'feel', 'love']","['catch', 'bu', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', 'left', 'dinner', 'feel', 'love']","['catch', 'bus', 'fry', 'egg', 'make', 'tea', 'eat', 'mom', 'leave', 'dinner', 'feel', 'love']",catch bus frying egg make tea eating mom left dinner feel love,catch bu fri egg make tea eat mom left dinner feel love,catch bus fry egg make tea eat mom leave dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",i m back amp we re packing the car now i ll let you know if there s room,"['back', 'amp', 'packing', 'car', 'let', 'know', 'room']","['back', 'amp', 'pack', 'car', 'let', 'know', 'room']","['back', 'amp', 'packing', 'car', 'let', 'know', 'room']",back amp packing car let know room,back amp pack car let know room,back amp packing car let know room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vaguely remember that what does it feel like lol,"['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']","['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']","['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']",ahhh work vaguely remember feel like lol,ahhh work vagu rememb feel like lol,ahhh work vaguely remember feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us,"['wait', 'still', 'clear', 'sure', 'sarcastic', 'want', 'live', 'us']","['wait', 'still', 'clear', 'sure', 'sarcast', 'want', 'live', 'us']","['wait', 'still', 'clear', 'sure', 'sarcastic', 'want', 'live', 'u']",wait still clear sure sarcastic want live us,wait still clear sure sarcast want live us,wait still clear sure sarcastic want live u
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we won t go there not doing too badly cheers you,"['yeah', 'got', 'apologetic', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'go', 'badly', 'cheers']","['yeah', 'got', 'apologet', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'go', 'badli', 'cheer']","['yeah', 'get', 'apologetic', 'fall', 'actin', 'like', 'spoilt', 'child', 'get', 'caught', 'till', 'go', 'badly', 'cheer']",yeah got apologetic fallen actin like spoilt child got caught till go badly cheers,yeah got apologet fallen actin like spoilt child got caught till go badli cheer,yeah get apologetic fall actin like spoilt child get caught till go badly cheer
ham,K tell me anything about you.,k tell me anything about you,"['tell', 'anything']","['tell', 'anyth']","['tell', 'anything']",tell anything,tell anyth,tell anything
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear of fainting with the of all that housework you just did quick have a cuppa,"['fear', 'fainting', 'housework', 'quick', 'cuppa']","['fear', 'faint', 'housework', 'quick', 'cuppa']","['fear', 'faint', 'housework', 'quick', 'cuppa']",fear fainting housework quick cuppa,fear faint housework quick cuppa,fear faint housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged,"['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', 'month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']","['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', 'month', 'pleas', 'confirm', 'repli', 'ye', 'repli', 'charg']","['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charge', 'month', 'please', 'confirm', 'reply', 'yes', 'reply', 'charge']",thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg,thanks subscription ringtone uk mobile charge month please confirm reply yes reply charge
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am,"['yup', 'ok', 'go', 'home', 'look', 'timings', 'msg', 'xuhui', 'going', 'learn', 'nd', 'may', 'lesson']","['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'xuhui', 'go', 'learn', 'nd', 'may', 'lesson']","['yup', 'ok', 'go', 'home', 'look', 'timing', 'msg', 'xuhui', 'go', 'learn', 'nd', 'may', 'lesson']",yup ok go home look timings msg xuhui going learn nd may lesson,yup ok go home look time msg xuhui go learn nd may lesson,yup ok go home look timing msg xuhui go learn nd may lesson
ham,"Oops, I'll let you know when my roommate's done",oops i ll let you know when my roommate s done,"['oops', 'let', 'know', 'roommate', 'done']","['oop', 'let', 'know', 'roommat', 'done']","['oops', 'let', 'know', 'roommate', 'do']",oops let know roommate done,oop let know roommat done,oops let know roommate do
ham,I see the letter B on my car,i see the letter b on my car,"['see', 'letter', 'car']","['see', 'letter', 'car']","['see', 'letter', 'car']",see letter car,see letter car,see letter car
ham,Anything lor... U decide...,anything lor u decide,"['anything', 'lor', 'decide']","['anyth', 'lor', 'decid']","['anything', 'lor', 'decide']",anything lor decide,anyth lor decid,anything lor decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything,"['hello', 'saturday', 'go', 'texting', 'see', 'decided', 'anything', 'tomo', 'trying', 'invite', 'anything']","['hello', 'saturday', 'go', 'text', 'see', 'decid', 'anyth', 'tomo', 'tri', 'invit', 'anyth']","['hello', 'saturday', 'go', 'texting', 'see', 'decide', 'anything', 'tomo', 'try', 'invite', 'anything']",hello saturday go texting see decided anything tomo trying invite anything,hello saturday go text see decid anyth tomo tri invit anyth,hello saturday go texting see decide anything tomo try invite anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,"['pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'abiola']","['pl', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']","['pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'abiola']",pls go ahead watts wanted sure great weekend abiola,pl go ahead watt want sure great weekend abiola,pls go ahead watts wanted sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']","['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']","['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']",forget tell want need crave love sweet arabian steed mmmmmm yummy,forget tell want need crave love sweet arabian steed mmmmmm yummi,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,"['rodger', 'burns', 'msg', 'tried', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'delivery', 'tomorrow']","['rodger', 'burn', 'msg', 'tri', 'call', 'repli', 'sm', 'free', 'nokia', 'mobil', 'free', 'camcord', 'pleas', 'call', 'deliveri', 'tomorrow']","['rodger', 'burn', 'msg', 'try', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'delivery', 'tomorrow']",rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow,rodger burn msg try call reply sms free nokia mobile free camcorder please call delivery tomorrow
ham,WHO ARE YOU SEEING?,who are you seeing,['seeing'],['see'],['see'],seeing,see,see
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great i hope you like your man well endowed i am lt gt inches,"['great', 'hope', 'like', 'man', 'well', 'endowed', 'lt', 'gt', 'inches']","['great', 'hope', 'like', 'man', 'well', 'endow', 'lt', 'gt', 'inch']","['great', 'hope', 'like', 'man', 'well', 'endow', 'lt', 'gt', 'inch']",great hope like man well endowed lt gt inches,great hope like man well endow lt gt inch,great hope like man well endow lt gt inch
ham,No calls..messages..missed calls,no calls messages missed calls,"['calls', 'messages', 'missed', 'calls']","['call', 'messag', 'miss', 'call']","['call', 'message', 'miss', 'call']",calls messages missed calls,call messag miss call,call message miss call
ham,Didn't you get hep b immunisation in nigeria.,didn t you get hep b immunisation in nigeria,"['get', 'hep', 'immunisation', 'nigeria']","['get', 'hep', 'immunis', 'nigeria']","['get', 'hep', 'immunisation', 'nigeria']",get hep immunisation nigeria,get hep immunis nigeria,get hep immunisation nigeria
ham,"Fair enough, anything going on?",fair enough anything going on,"['fair', 'enough', 'anything', 'going']","['fair', 'enough', 'anyth', 'go']","['fair', 'enough', 'anything', 'go']",fair enough anything going,fair enough anyth go,fair enough anything go
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully if tyler can t do it i could maybe ask around a bit,"['yeah', 'hopefully', 'tyler', 'could', 'maybe', 'ask', 'around', 'bit']","['yeah', 'hope', 'tyler', 'could', 'mayb', 'ask', 'around', 'bit']","['yeah', 'hopefully', 'tyler', 'could', 'maybe', 'ask', 'around', 'bit']",yeah hopefully tyler could maybe ask around bit,yeah hope tyler could mayb ask around bit,yeah hopefully tyler could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers,"['know', 'stubborn', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'mark', 'weak', 'sucker', 'hospitals', 'weak', 'suckers']","['know', 'stubborn', 'even', 'want', 'go', 'hospit', 'kept', 'tell', 'mark', 'weak', 'sucker', 'hospit', 'weak', 'sucker']","['know', 'stubborn', 'even', 'want', 'go', 'hospital', 'kept', 'tell', 'mark', 'weak', 'sucker', 'hospital', 'weak', 'sucker']",know stubborn even want go hospital kept telling mark weak sucker hospitals weak suckers,know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker,know stubborn even want go hospital kept tell mark weak sucker hospital weak sucker
ham,What you thinked about me. First time you saw me in class.,what you thinked about me first time you saw me in class,"['thinked', 'first', 'time', 'saw', 'class']","['think', 'first', 'time', 'saw', 'class']","['think', 'first', 'time', 'saw', 'class']",thinked first time saw class,think first time saw class,think first time saw class
